Season,Champions-Country,Champions-Club,Score,Runners-up-Club,Runners-up-Country,Final venue,Host nation,Attendance,Refs
2000, Brazil,Corinthians,0–0 [n 1],Vasco da Gama, Brazil,"Estádio do Maracanã, Rio de Janeiro", Brazil,"73,000",[5][6][36]
2005, Brazil,São Paulo,1–0,Liverpool, England,"International Stadium Yokohama, Yokohama", Japan,"66,821",[10][37][38]
2006, Brazil,Internacional,1–0,Barcelona, Spain,"International Stadium Yokohama, Yokohama", Japan,"67,128",[13][39][40]
2007, Italy,Milan,4–2,Boca Juniors, Argentina,"International Stadium Yokohama, Yokohama", Japan,"68,263",[15][41][42]
2008, England,Manchester United,1–0,LDU Quito, Ecuador,"International Stadium Yokohama, Yokohama", Japan,"68,682",[17][43][44]
2009, Spain,Barcelona,2–1 [n 2],Estudiantes, Argentina,"Zayed Sports City Stadium, Abu Dhabi", United Arab Emirates,"43,050",[45][46][47]
2010, Italy,Internazionale,3–0,TP Mazembe, Democratic Republic of the Congo,"Zayed Sports City Stadium, Abu Dhabi", United Arab Emirates,"42,174",[26][48][49]
2011, Spain,Barcelona,4–0,Santos, Brazil,"International Stadium Yokohama, Yokohama", Japan,"68,166",[28][45][50]
2012, Brazil,Corinthians,1–0,Chelsea, England,"International Stadium Yokohama, Yokohama", Japan,"68,275",[31][36][51]
2013, Germany,Bayern Munich,2–0,Raja Casablanca, Morocco,"Stade de Marrakech, Marrakesh", Morocco,"37,774",[52][53]
2014, Spain,Real Madrid,2–0,San Lorenzo, Argentina,"Stade de Marrakech, Marrakesh", Morocco,"38,345",
2015, Spain,Barcelona,3–0,River Plate, Argentina,"International Stadium Yokohama, Yokohama", Japan,"66,853",
2016, Spain,Real Madrid,4–2 [n 3],Kashima Antlers, Japan,"International Stadium Yokohama, Yokohama", Japan,"68,742",
2017, Spain,Real Madrid,1–0,Grêmio, Brazil,"Zayed Sports City Stadium, Abu Dhabi", United Arab Emirates,"41,094",
2018, Spain,Real Madrid,4–1,Al-Ain, United Arab Emirates,"Zayed Sports City Stadium, Abu Dhabi", United Arab Emirates,"40,696",
2019, England,Liverpool,1–0 [n 4],Flamengo, Brazil,"Khalifa International Stadium, Doha", Qatar,"45,416",