,Season,Winning Nation,Winning Team,Score,Runners-up Nation,Runners-up Team,Att
,1955–56,ESP,Real Madrid,4–3,FRA,Reims,"Parc des Princes, Paris","38,239"
,1956–57,ESP,Real Madrid,2–0,ITA,Fiorentina,"Santiago Bernabéu Stadium, Madrid","124,000"
,1957–58,ESP,Real Madrid,3–2,ITA,Milan,"Heysel Stadium, Brussels","67,000"
,1958–59,ESP,Real Madrid,2–0,FRA,Reims,"Neckarstadion, Stuttgart","72,000"
,1959–60,ESP,Real Madrid,7–3,FRG,Eintracht Frankfurt,"Hampden Park, Glasgow","127,621"
,1960–61,POR,Benfica,3–2,ESP,Barcelona,"Wankdorf Stadium, Bern","26,732"
,1961–62,POR,Benfica,5–3,ESP,Real Madrid,"Olympisch Stadion, Amsterdam","61,257"
,1962–63,ITA,Milan,2–1,POR,Benfica,"Wembley Stadium, London","45,715"
,1963–64,ITA,Internazionale,3–1,ESP,Real Madrid,"Prater Stadium, Vienna","71,333"
,1964–65,ITA,Internazionale,1–0,POR,Benfica,"San Siro, Milan","89,000"
,1965–66,ESP,Real Madrid,2–1,YUG,Partizan,"Heysel Stadium, Brussels","46,745"
,1966–67,SCO,Celtic,2–1,ITA,Internazionale,"Estádio Nacional, Lisbon","45,000"
,1967–68,ENG,Manchester United,4–1,POR,Benfica,"Wembley Stadium, London","92,225"
,1968–69,ITA,Milan,4–1,NED,Ajax,"Santiago Bernabéu Stadium, Madrid","31,782"
,1969–70,NED,Feyenoord,2–1,SCO,Celtic,"San Siro, Milan","53,187"
,1970–71,NED,Ajax,2–0,GRE,Panathinaikos,"Wembley Stadium, London","83,179"
,1971–72,NED,Ajax,2–0,ITA,Internazionale,"De Kuip, Rotterdam","61,354"
,1972–73,NED,Ajax,1–0,ITA,Juventus,"Red Star Stadium, Belgrade","89,484"
,1973–74,FRG,Bayern Munich,4–0&[A],ESP,Atlético Madrid,"Heysel Stadium, Brussels","72,047"
,1974–75,FRG,Bayern Munich,2–0,ENG,Leeds United,"Parc des Princes, Paris","48,374"
,1975–76,FRG,Bayern Munich,1–0,FRA,Saint-Étienne,"Hampden Park, Glasgow","54,864"
,1976–77,ENG,Liverpool,3–1,FRG,Borussia Mönchengladbach,"Stadio Olimpico, Rome","57,000"
,1977–78,ENG,Liverpool,1–0,BEL,Club Brugge,"Wembley Stadium, London","92,500"
,1978–79,ENG,Nottingham Forest,1–0,SWE,Malmö FF,"Olympiastadion, Munich","57,500"
,1979–80,ENG,Nottingham Forest,1–0,FRG,Hamburg,"Santiago Bernabéu Stadium, Madrid","51,000"
,1980–81,ENG,Liverpool,1–0,ESP,Real Madrid,"Parc des Princes, Paris","48,360"
,1981–82,ENG,Aston Villa,1–0,FRG,Bayern Munich,"De Kuip, Rotterdam","46,000"
,1982–83,FRG,Hamburg,1–0,ITA,Juventus,"Olympic Stadium, Athens","73,500"
,1983–84,ENG,Liverpool,1–1*[B],ITA,Roma,"Stadio Olimpico, Rome","69,693"
,1984–85,ITA,Juventus,1–0,ENG,Liverpool,"Heysel Stadium, Brussels","58,000"
,1985–86,ROU,Steaua București,0–0*[C],ESP,Barcelona,"Ramón Sánchez Pizjuán Stadium, Seville","70,000"
,1986–87,POR,Porto,2–1,FRG,Bayern Munich,"Prater Stadium, Vienna","57,500"
,1987–88,NED,PSV Eindhoven,0–0*[D],POR,Benfica,"Neckarstadion, Stuttgart","68,000"
,1988–89,ITA,Milan,4–0,ROU,Steaua București,"Camp Nou, Barcelona","97,000"
,1989–90,ITA,Milan,1–0,POR,Benfica,"Prater Stadium, Vienna","57,558"
,1990–91,YUG,Red Star Belgrade,0–0*[E],FRA,Marseille,"Stadio San Nicola, Bari","56,000"
,1991–92,ESP,Barcelona,1–0,ITA,Sampdoria,"Wembley Stadium, London","70,827"
,1992–93,FRA,Marseille,1–0,ITA,Milan,"Olympiastadion, Munich","64,400"
,1993–94,ITA,Milan,4–0,ESP,Barcelona,"Olympic Stadium, Athens","70,000"
,1994–95,NED,Ajax,1–0,ITA,Milan,"Ernst-Happel-Stadion, Vienna","49,730"
,1995–96,ITA,Juventus,1–1*[F],NED,Ajax,"Stadio Olimpico, Rome","70,000"
,1996–97,GER,Borussia Dortmund,3–1,ITA,Juventus,"Olympiastadion, Munich","59,000"
,1997–98,ESP,Real Madrid,1–0,ITA,Juventus,"Amsterdam Arena, Amsterdam","48,500"
,1998–99,ENG,Manchester United,2–1,GER,Bayern Munich,"Camp Nou, Barcelona","90,245"
,1999–2000,ESP,Real Madrid,3–0,ESP,Valencia,"Stade de France, Saint-Denis","80,000"
,2000–01,GER,Bayern Munich,1–1*[G],ESP,Valencia,"San Siro, Milan","71,500"
,2001–02,ESP,Real Madrid,2–1,GER,Bayer Leverkusen,"Hampden Park, Glasgow","50,499"
,2002–03,ITA,Milan,0–0*[H],ITA,Juventus,"Old Trafford, Manchester","62,315"
,2003–04,POR,Porto,3–0,FRA,Monaco,"Arena AufSchalke, Gelsenkirchen","53,053"
,2004–05,ENG,Liverpool,3–3*[I],ITA,Milan,"Atatürk Olympic Stadium, Istanbul","69,000"
,2005–06,ESP,Barcelona,2–1,ENG,Arsenal,"Stade de France, Saint-Denis","79,610"
,2006–07,ITA,Milan,2–1,ENG,Liverpool,"Olympic Stadium, Athens","63,000"
,2007–08,ENG,Manchester United,1–1*[J],ENG,Chelsea,"Luzhniki Stadium, Moscow","67,310"
,2008–09,ESP,Barcelona,2–0,ENG,Manchester United,"Stadio Olimpico, Rome","62,467"
,2009–10,ITA,Internazionale,2–0,GER,Bayern Munich,"Santiago Bernabéu Stadium, Madrid","73,490"
,2010–11,ESP,Barcelona,3–1,ENG,Manchester United,"Wembley Stadium, London","87,695"
,2011–12,ENG,Chelsea,1–1*[K],GER,Bayern Munich,"Allianz Arena, Munich","62,500"
,2012–13,GER,Bayern Munich,2–1,GER,Borussia Dortmund,"Wembley Stadium, London","86,298"
,2013–14,ESP,Real Madrid,4–1,ESP,Atlético Madrid,"Estádio da Luz, Lisbon","60,976"
,2014–15,ESP,Barcelona,3–1,ITA,Juventus,"Olympiastadion, Berlin","70,442"
,2015–16,ESP,Real Madrid,1–1*[L],ESP,Atlético Madrid,"San Siro, Milan","71,942"
,2016–17,ESP,Real Madrid,4–1,ITA,Juventus,"Millennium Stadium, Cardiff","65,842"
,2017–18,ESP,Real Madrid,3–1,ENG,Liverpool,"NSC Olimpiyskiy Stadium, Kiev","61,561"
,2018–19,ENG,Liverpool,2–0,ENG,Tottenham Hotspur,"Wanda Metropolitano, Madrid","63,272"
