Season,Winner-Country,Winners,Runners-up,Runners-up-Country
1971–72, England,Tottenham Hotspur,Wolverhampton Wanderers, England
1972–73, England,Liverpool,Borussia Mönchengladbach, West Germany
1973–74, Netherlands,Feyenoord,Tottenham Hotspur, England
1974–75, West Germany,Borussia Mönchengladbach,Twente, Netherlands
1975–76, England,Liverpool,Club Brugge, Belgium
1976–77, Italy,Juventus,Athletic Bilbao, Spain
1977–78, Netherlands,PSV Eindhoven,Bastia, France
1978–79, West Germany,Borussia Mönchengladbach,Red Star Belgrade, Yugoslavia
1979–80, West Germany,Eintracht Frankfurt,Borussia Mönchengladbach, West Germany
1980–81, England,Ipswich Town,AZ, Netherlands
1981–82, Sweden,IFK Göteborg,Hamburg, West Germany
1982–83, Belgium,Anderlecht,Benfica, Portugal
1983–84, England,Tottenham Hotspur,Anderlecht, Belgium
1984–85, Spain,Real Madrid,Videoton, Hungary
1985–86, Spain,Real Madrid,Köln, West Germany
1986–87, Sweden,IFK Göteborg,Dundee United, Scotland
1987–88, West Germany,Bayer Leverkusen,Espanyol, Spain
1988–89, Italy,Napoli,VfB Stuttgart, West Germany
1989–90, Italy,Juventus,Fiorentina, Italy
1990–91, Italy,Internazionale,Roma, Italy
1991–92, Netherlands,Ajax,Torino, Italy
1992–93, Italy,Juventus,Borussia Dortmund, Germany
1993–94, Italy,Internazionale,Salzburg, Austria
1994–95, Italy,Parma,Juventus, Italy
1995–96, Germany,Bayern Munich,Bordeaux, France
1996–97, Germany,Schalke 04,Internazionale, Italy
1997–98, Italy,Internazionale,Lazio, Italy
1998–99, Italy,Parma,Marseille, France
1999–2000, Turkey,Galatasaray,Arsenal, England
2000–01, England,Liverpool,Deportivo Alavés, Spain
2001–02, Netherlands,Feyenoord,Borussia Dortmund, Germany
2002–03, Portugal,Porto,Celtic, Scotland
2003–04, Spain,Valencia,Marseille, France
2004–05, Russia,CSKA Moscow,Sporting CP, Portugal
2005–06, Spain,Sevilla,Middlesbrough, England
2006–07, Spain,Sevilla,Espanyol, Spain
2007–08, Russia,Zenit Saint Petersburg,Rangers, Scotland
2008–09, Ukraine,Shakhtar Donetsk,Werder Bremen, Germany
2009–10, Spain,Atlético Madrid,Fulham, England
2010–11, Portugal,Porto,Braga, Portugal
2011–12, Spain,Atlético Madrid,Athletic Bilbao, Spain
2012–13, England,Chelsea,Benfica, Portugal
2013–14, Spain,Sevilla,Benfica, Portugal
2014–15, Spain,Sevilla,Dnipro, Ukraine
2015–16, Spain,Sevilla,Liverpool, England
2016–17, England,Manchester United,Ajax, Netherlands
2017–18, Spain,Atlético Madrid,Marseille, France
2018–19, England,Chelsea,Arsenal, England